UML ID;Group Name;Parent Company;Mill Name;RSPO Status;RSPO Type;Date RSPO Certification Status;Latitude;Longitude;GPS coordinates;ISO;Country;Province;District;Confidence level;Alternative name
PO1000001156;SINAR MAS;TAPIAN NADENGGAN;SEMILAR;RSPO Certified;RSPO Certified, IP, MB;07/10/2024;-2,248111;112,340417;-2.248111, 112.340417;IDN;Indonesia;Kalimantan Tengah;Seruyan;1-Fully Verified;
PO1000001207;CARGILL;AYU SAWIT LESTARI;PAKU JUANG;RSPO Certified;RSPO Certified, IP;07/10/2024;-2,433267;110,817511;-2.433267, 110.817511;IDN;Indonesia;Kalimantan Barat;Ketapang;1-Fully Verified;
PO1000001208;CARGILL;HARAPAN SAWIT LESTARI;MANIS MATA;RSPO Certified;RSPO Certified, MB;07/10/2024;-2,483162;111,018391;-2.483162, 111.018391;IDN;Indonesia;Kalimantan Barat;Ketapang;1-Fully Verified;
PO1000001233;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;BUKIT SAGU;RSPO Certified;RSPO Certified, MB;07/10/2024;3,9669;103,1487;3.9669, 103.1487;MYS;Malaysia;Pahang;Kuantan;1-Fully Verified;
PO1000001250;SOCFIN S.A.;SOCFIN INDONESIA;NEGERI LAMA;RSPO Certified;RSPO Certified, IP;07/10/2024;2,31725;100,070169;2.31725, 100.070169;IDN;Indonesia;Sumatera Utara;Labuhanbatu;1-Fully Verified;
PO1000001251;SOCFIN S.A.;SOCFIN INDONESIA;SUNGAI LIPUT;RSPO Certified;RSPO Certified, IP;07/10/2024;4,2319;98,0594;4.2319, 98.0594;IDN;Indonesia;Aceh;Aceh Tamiang;1-Fully Verified;
PO1000001252;SOCFIN S.A.;SOCFIN INDONESIA;AEK LOBA;RSPO Certified;RSPO Certified, IP;07/10/2024;2,651389;99,617778;2.651389, 99.617778;IDN;Indonesia;Sumatera Utara;Asahan;1-Fully Verified;
PO1000001256;SOCFIN S.A.;SOCFIN INDONESIA;MATA PAO MILL;RSPO Certified;RSPO Certified, IP;07/10/2024;3,530833;99,091944;3.530833, 99.091944;IDN;Indonesia;Sumatera Utara;Serdang Bedagai;1-Fully Verified;
PO1000001263;JOHOR PLANTATIONS BERHAD;JOHOR PLANTATIONS BERHAD;TEREH;RSPO Certified;RSPO Certified, IP;07/10/2024;2,217023;103,352357;2.217023, 103.352357;MYS;Malaysia;Johor;Keluang;1-Fully Verified;
PO1000001264;KULIM (MALAYSIA) BERHAD;SINDORA BHD;SINDORA;RSPO Certified;RSPO Certified, IP;07/10/2024;1,985372;103,46231;1.985372, 103.46231;MYS;Malaysia;Johor;Keluang;1-Fully Verified;
PO1000001265;KULIM (MALAYSIA) BERHAD;MAHAMURNI PLANTATIONS SDN BHD;PALONG COCOA;RSPO Certified;RSPO Certified, IP;07/10/2024;2,7064;102,785012;2.7064, 102.785012;MYS;Malaysia;Johor;Segamat;1-Fully Verified;
PO1000001278;SIPEF;AGRO MUKO;MUKOMUKO POM;RSPO Certified;RSPO Certified, IP;07/10/2024;-2,601342;101,277978;-2.601342, 101.277978;IDN;Indonesia;Bengkulu;Mukomuko;1-Fully Verified;
PO1000001279;SIPEF;AGRO MUKO;BUNGA TANJUNG;RSPO Certified;RSPO Certified, IP;07/10/2024;-2,716388;101,369444;-2.716388, 101.369444;IDN;Indonesia;Bengkulu;Mukomuko;1-Fully Verified;
PO1000001285;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;BUKIT BESAR;Not RSPO Certified;;07/10/2024;1,772191;103,7022;1.772191, 103.7022;MYS;Malaysia;Johor;Kota Tinggi;2-High Confidence;
PO1000001309;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;KULAI;RSPO Certified;RSPO Certified, MB;07/10/2024;1,739556;103,647292;1.739556, 103.647292;MYS;Malaysia;Johor;Kulaijaya;2-High Confidence;
PO1000001310;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;PENGGELI;RSPO Certified;RSPO Certified, MB;07/10/2024;1,827009;103,639143;1.827009, 103.639143;MYS;Malaysia;Johor;Kota Tinggi;1-Fully Verified;
PO1000001311;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;BELITONG;RSPO Certified;RSPO Certified, MB;07/10/2024;1,937607;103,4986;1.937607, 103.4986;MYS;Malaysia;Johor;Keluang;1-Fully Verified;
PO1000001313;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;NITAR;RSPO Certified;RSPO Certified, MB;07/10/2024;2,406759;103,657348;2.406759, 103.657348;MYS;Malaysia;Johor;Mersing;1-Fully Verified;
PO1000001314;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;KAHANG;Not RSPO Certified;;07/10/2024;2,075104;103,494118;2.075104, 103.494118;MYS;Malaysia;Johor;Keluang;1-Fully Verified;
PO1000001315;PASIFIK AGRO SENTOSA (PAS);BARUMUN AGRI SENTOSA;AEK SIGALA GALA;RSPO Certified;RSPO Certified, MB;07/10/2024;1,621167;100,102444;1.621167, 100.102444;IDN;Indonesia;Sumatera Utara;Padang Lawas Utara;1-Fully Verified;
PO1000001320;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;LEPAR HILIR;RSPO Certified;RSPO Certified, MB;07/10/2024;3,645278;103,012778;3.645278, 103.012778;MYS;Malaysia;Pahang;Kuantan;1-Fully Verified;
PO1000001342;SINAR MAS;SUMBER INDAH PERKASA;SUNGAI BUAYA;RSPO Certified;RSPO Certified, IP;07/10/2024;-4,128611;105,438839;-4.128611, 105.438839;IDN;Indonesia;Lampung;Mesuji;1-Fully Verified;
PO1000001343;SINAR MAS;SUMBER INDAH PERKASA;SUNGAI MERAH;Not RSPO Certified;;07/10/2024;-4,218444;105,588769;-4.218444, 105.588769;IDN;Indonesia;Lampung;Tulangbawang;1-Fully Verified;
PO1000001344;SINAR MAS;KRESNA DUTA AGROINDO;JELATANG;RSPO Certified;RSPO Certified, MB;07/10/2024;-2,072222;102,485833;-2.072222, 102.485833;IDN;Indonesia;Jambi;Merangin;1-Fully Verified;
PO1000001345;SINAR MAS;KRESNA DUTA AGROINDO;LANGLING;RSPO Certified;RSPO Certified, MB;07/10/2024;-2,100833;102,374444;-2.100833, 102.374444;IDN;Indonesia;Jambi;Merangin;1-Fully Verified;
